pIllAppearingStrat3,Cost,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,QALY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,LY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,ICER ($/QALY),Categorical Risk Assessment,NSC,Enhanced Clinical Observation
0.0515175,,4377.840015,3709.65676,3775.871777,,29.07265838,29.07651552,29.07775597,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,53379.52843
0.0516,,4377.840015,3709.65676,3777.189335,,29.07265838,29.07651552,29.07774873,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,54761.58674
0.0516825,,4377.840015,3709.65676,3778.506893,,29.07265838,29.07651552,29.07774148,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,56159.9832
0.051765,,4377.840015,3709.65676,3779.824451,,29.07265838,29.07651552,29.07773424,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,57575.00922
0.0518475,,4377.840015,3709.65676,3781.142009,,29.07265838,29.07651552,29.07772699,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,59006.96323
0.05193,,4377.840015,3709.65676,3782.459567,,29.07265838,29.07651552,29.07771974,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,60456.15082
0.0520125,,4377.840015,3709.65676,3783.777126,,29.07265838,29.07651552,29.0777125,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,61922.88497
0.052095,,4377.840015,3709.65676,3785.094684,,29.07265838,29.07651552,29.07770525,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,63407.48632
0.0521775,,4377.840015,3709.65676,3786.412242,,29.07265838,29.07651552,29.077698,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,64910.28333
0.05226,,4377.840015,3709.65676,3787.7298,,29.07265838,29.07651552,29.07769076,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,66431.61258
0.0523425,,4377.840015,3709.65676,3789.047358,,29.07265838,29.07651552,29.07768351,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,67971.819
0.052425,,4377.840015,3709.65676,3790.364917,,29.07265838,29.07651552,29.07767626,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,69531.25615
0.0525075,,4377.840015,3709.65676,3791.682475,,29.07265838,29.07651552,29.07766902,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,71110.28644
0.05259,,4377.840015,3709.65676,3793.000033,,29.07265838,29.07651552,29.07766177,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,72709.28148
0.0526725,,4377.840015,3709.65676,3794.317591,,29.07265838,29.07651552,29.07765452,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,74328.62232
0.052755,,4377.840015,3709.65676,3795.635149,,29.07265838,29.07651552,29.07764728,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,75968.69975
0.0528375,,4377.840015,3709.65676,3796.952708,,29.07265838,29.07651552,29.07764003,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,77629.91468
0.05292,,4377.840015,3709.65676,3798.270266,,29.07265838,29.07651552,29.07763279,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,79312.67837
0.0530025,,4377.840015,3709.65676,3799.587824,,29.07265838,29.07651552,29.07762554,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,81017.41286
0.053085,,4377.840015,3709.65676,3800.905382,,29.07265838,29.07651552,29.07761829,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,82744.55126
0.0531675,,4377.840015,3709.65676,3802.22294,,29.07265838,29.07651552,29.07761105,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,84494.53814
0.05325,,4377.840015,3709.65676,3803.540498,,29.07265838,29.07651552,29.0776038,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,86267.82992
0.0533325,,4377.840015,3709.65676,3804.858057,,29.07265838,29.07651552,29.07759655,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,88064.89526
0.053415,,4377.840015,3709.65676,3806.175615,,29.07265838,29.07651552,29.07758931,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,89886.21546
0.0534975,,4377.840015,3709.65676,3807.493173,,29.07265838,29.07651552,29.07758206,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,91732.2849
0.05358,,4377.840015,3709.65676,3808.810731,,29.07265838,29.07651552,29.07757481,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,93603.61151
0.0536625,,4377.840015,3709.65676,3810.128289,,29.07265838,29.07651552,29.07756757,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,95500.71718
0.053745,,4377.840015,3709.65676,3811.445848,,29.07265838,29.07651552,29.07756032,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,97424.1383
0.0538275,,4377.840015,3709.65676,3812.763406,,29.07265838,29.07651552,29.07755307,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,99374.42625
0.05391,,4377.840015,3709.65676,3814.080964,,29.07265838,29.07651552,29.07754583,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,101352.1479
0.0539925,,4377.840015,3709.65676,3815.398522,,29.07265838,29.07651552,29.07753858,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,103357.8862
0.054075,,4377.840015,3709.65676,3816.71608,,29.07265838,29.07651552,29.07753134,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,105392.2407
0.0541575,,4377.840015,3709.65676,3818.033639,,29.07265838,29.07651552,29.07752409,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,107455.8283
0.05424,,4377.840015,3709.65676,3819.351197,,29.07265838,29.07651552,29.07751684,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,109549.2836
0.0543225,,4377.840015,3709.65676,3820.668755,,29.07265838,29.07651552,29.0775096,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,111673.2597
0.054405,,4377.840015,3709.65676,3821.986313,,29.07265838,29.07651552,29.07750235,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,113828.4291
0.0544875,,4377.840015,3709.65676,3823.303871,,29.07265838,29.07651552,29.0774951,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,116015.4839
0.05457,,4377.840015,3709.65676,3824.621429,,29.07265838,29.07651552,29.07748786,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,118235.1372
0.0546525,,4377.840015,3709.65676,3825.938988,,29.07265838,29.07651552,29.07748061,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,120488.123
0.054735,,4377.840015,3709.65676,3827.256546,,29.07265838,29.07651552,29.07747336,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,122775.1981
0.0548175,,4377.840015,3709.65676,3828.574104,,29.07265838,29.07651552,29.07746612,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,125097.1419
0.0549,,4377.840015,3709.65676,3829.891662,,29.07265838,29.07651552,29.07745887,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,127454.758
0.0549825,,4377.840015,3709.65676,3831.20922,,29.07265838,29.07651552,29.07745162,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,129848.8749
0.055065,,4377.840015,3709.65676,3832.526779,,29.07265838,29.07651552,29.07744438,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,132280.3468
0.0551475,,4377.840015,3709.65676,3833.844337,,29.07265838,29.07651552,29.07743713,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,134750.0547
0.05523,,4377.840015,3709.65676,3835.161895,,29.07265838,29.07651552,29.07742989,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,137258.9079
0.0553125,,4377.840015,3709.65676,3836.479453,,29.07265838,29.07651552,29.07742264,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,139807.8445
0.055395,,4377.840015,3709.65676,3837.797011,,29.07265838,29.07651552,29.07741539,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,142397.8327
0.0554775,,4377.840015,3709.65676,3839.11457,,29.07265838,29.07651552,29.07740815,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,145029.8723
0.05556,,4377.840015,3709.65676,3840.432128,,29.07265838,29.07651552,29.0774009,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,147704.9959
