pIllAppearingBCPosYellow,Cost,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,QALY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,LY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,ICER ($/QALY),Categorical Risk Assessment,NSC,Enhanced Clinical Observation
0.1682716,,4377.840015,3731.562756,3773.356438,,29.07265838,29.07639606,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,30423.12212
0.1706258,,4377.840015,3735.132166,3773.356438,,29.07265838,29.0763766,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,27436.08198
0.17298,,4377.840015,3738.701577,3773.356438,,29.07265838,29.07635713,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,24531.3552
0.1753342,,4377.840015,3742.270987,3773.356438,,29.07265838,29.07633767,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,21705.58557
0.1776884,,4377.840015,3745.840398,3773.356438,,29.07265838,29.0763182,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,18955.59691
0.1800426,,4377.840015,3749.409808,3773.356438,,29.07265838,29.07629874,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,16278.38112
0.1823968,,4377.840015,3752.979219,3773.356438,,29.07265838,29.07627927,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,13671.08726
0.184751,,4377.840015,3756.548629,3773.356438,,29.07265838,29.07625981,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,11131.01136
0.1871052,,4377.840015,3760.11804,3773.356438,,29.07265838,29.07624035,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,8655.587112
0.1894594,,4377.840015,3763.68745,3773.356438,,29.07265838,29.07622088,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,6242.3772
0.1918136,,4377.840015,3767.25686,3773.356438,,29.07265838,29.07620142,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,3889.065302
0.1941678,,4377.840015,3770.826271,3773.356438,,29.07265838,29.07618195,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,1593.448671
0.196522,,4377.840015,3774.395681,3773.356438,,29.07265838,29.07616249,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.1988762,,4377.840015,3777.965092,3773.356438,,29.07265838,29.07614302,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.2012304,,4377.840015,3781.534502,3773.356438,,29.07265838,29.07612356,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.2035846,,4377.840015,3785.103913,3773.356438,,29.07265838,29.07610409,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.2059388,,4377.840015,3788.673323,3773.356438,,29.07265838,29.07608463,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.208293,,4377.840015,3792.242734,3773.356438,,29.07265838,29.07606517,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.2106472,,4377.840015,3795.812144,3773.356438,,29.07265838,29.0760457,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.2130014,,4377.840015,3799.381555,3773.356438,,29.07265838,29.07602624,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.2153556,,4377.840015,3802.950965,3773.356438,,29.07265838,29.07600677,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.2177098,,4377.840015,3806.520376,3773.356438,,29.07265838,29.07598731,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.220064,,4377.840015,3810.089786,3773.356438,,29.07265838,29.07596784,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.2224182,,4377.840015,3813.659196,3773.356438,,29.07265838,29.07594838,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.2247724,,4377.840015,3817.228607,3773.356438,,29.07265838,29.07592891,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.2271266,,4377.840015,3820.798017,3773.356438,,29.07265838,29.07590945,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.2294808,,4377.840015,3824.367428,3773.356438,,29.07265838,29.07588999,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.231835,,4377.840015,3827.936838,3773.356438,,29.07265838,29.07587052,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.2341892,,4377.840015,3831.506249,3773.356438,,29.07265838,29.07585106,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.2365434,,4377.840015,3835.075659,3773.356438,,29.07265838,29.07583159,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.2388976,,4377.840015,3838.64507,3773.356438,,29.07265838,29.07581213,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.2412518,,4377.840015,3842.21448,3773.356438,,29.07265838,29.07579266,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.243606,,4377.840015,3845.783891,3773.356438,,29.07265838,29.0757732,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.2459602,,4377.840015,3849.353301,3773.356438,,29.07265838,29.07575373,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.2483144,,4377.840015,3852.922712,3773.356438,,29.07265838,29.07573427,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.2506686,,4377.840015,3856.492122,3773.356438,,29.07265838,29.07571481,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.2530228,,4377.840015,3860.061532,3773.356438,,29.07265838,29.07569534,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.255377,,4377.840015,3863.630943,3773.356438,,29.07265838,29.07567588,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.2577312,,4377.840015,3867.200353,3773.356438,,29.07265838,29.07565641,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.2600854,,4377.840015,3870.769764,3773.356438,,29.07265838,29.07563695,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.2624396,,4377.840015,3874.339174,3773.356438,,29.07265838,29.07561748,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.2647938,,4377.840015,3877.908585,3773.356438,,29.07265838,29.07559802,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.267148,,4377.840015,3881.477995,3773.356438,,29.07265838,29.07557855,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.2695022,,4377.840015,3885.047406,3773.356438,,29.07265838,29.07555909,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.2718564,,4377.840015,3888.616816,3773.356438,,29.07265838,29.07553963,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.2742106,,4377.840015,3892.186227,3773.356438,,29.07265838,29.07552016,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.2765648,,4377.840015,3895.755637,3773.356438,,29.07265838,29.0755007,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.278919,,4377.840015,3899.325048,3773.356438,,29.07265838,29.07548123,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.2812732,,4377.840015,3902.894458,3773.356438,,29.07265838,29.07546177,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.2836274,,4377.840015,3906.463869,3773.356438,,29.07265838,29.0754423,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.2859816,,4377.840015,3910.033279,3773.356438,,29.07265838,29.07542284,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.2883358,,4377.840015,3913.602689,3773.356438,,29.07265838,29.07540338,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.29069,,4377.840015,3917.1721,3773.356438,,29.07265838,29.07538391,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
