IncidenceEOS,Cost,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,QALY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,LY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,ICER ($/QALY),Categorical Risk Assessment,NSC,Enhanced Clinical Observation
0.9219999999999999,,4343.024878505707,3674.84162368777,3738.5413013917378,,29.0727507055016,29.076607841554964,29.077862132763915,,0.9999640854219836,0.9999640854219836,0.9999640854219836,,Strongly Dominated (Baseline),Cost Saving,50785.397561079
0.96,,4359.986098979425,3691.8028441614874,3755.5025218654546,,29.072705727102967,29.076562863156337,29.077817154365285,,0.9999626090310649,0.9999626090310648,0.9999626090310649,,Strongly Dominated (Baseline),Cost Saving,50785.39756122248
0.998,,4376.947319453142,3708.764064635205,3772.4637423391723,,29.072660748704337,29.076517884757703,29.07777217596665,,0.9999611326401463,0.9999611326401463,0.9999611326401463,,Strongly Dominated (Baseline),Cost Saving,50785.39756122248
1.036,,4393.908539926859,3725.7252851089215,3789.424962812889,,29.072615770305703,29.07647290635907,29.077727197568016,,0.9999596562492277,0.9999596562492276,0.9999596562492277,,Strongly Dominated (Baseline),Cost Saving,50785.397561222846
1.074,,4410.869760400576,3742.6865055826383,3806.386183286606,,29.072570791907072,29.076427927960438,29.077682219169386,,0.999958179858309,0.999958179858309,0.999958179858309,,Strongly Dominated (Baseline),Cost Saving,50785.397561222846
1.1119999999999999,,4427.830980874293,3759.6477260563556,3823.3474037603232,,29.072525813508438,29.076382949561804,29.077637240770756,,0.9999567034673904,0.9999567034673902,0.9999567034673904,,Strongly Dominated (Baseline),Cost Saving,50785.397561079
1.15,,4444.79220134801,3776.608946530072,3840.3086242340405,,29.072480835109808,29.076337971163174,29.07759226237212,,0.9999552270764719,0.9999552270764717,0.9999552270764717,,Strongly Dominated (Baseline),Cost Saving,50785.397561223566
1.188,,4461.753421821728,3793.57016700379,3857.2698447077573,,29.072435856711174,29.07629299276454,29.077547283973487,,0.999953750685553,0.9999537506855529,0.999953750685553,,Strongly Dominated (Baseline),Cost Saving,50785.39756122248
1.226,,4478.714642295444,3810.5313874775075,3874.2310651814746,,29.072390878312543,29.07624801436591,29.077502305574857,,0.9999522742946345,0.9999522742946343,0.9999522742946344,,Strongly Dominated (Baseline),Cost Saving,50785.39756122248
1.264,,4495.6758627691615,3827.4926079512243,3891.192285655192,,29.072345899913913,29.076203035967275,29.077457327176223,,0.9999507979037158,0.9999507979037157,0.9999507979037158,,Strongly Dominated (Baseline),Cost Saving,50785.397561222846
