pRed,Cost,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,QALY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,LY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,ICER ($/QALY),Categorical Risk Assessment,NSC,Enhanced Clinical Observation
0.0492853,,4377.840015,3866.792398,3773.356438,,29.07265838,29.07559398,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0495236,,4377.840015,3870.309952,3773.356438,,29.07265838,29.07557335,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0497619,,4377.840015,3873.827507,3773.356438,,29.07265838,29.07555272,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0500002,,4377.840015,3877.345061,3773.356438,,29.07265838,29.07553209,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0502385,,4377.840015,3880.862616,3773.356438,,29.07265838,29.07551147,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0504768,,4377.840015,3884.38017,3773.356438,,29.07265838,29.07549084,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0507151,,4377.840015,3887.897725,3773.356438,,29.07265838,29.07547021,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0509534,,4377.840015,3891.415279,3773.356438,,29.07265838,29.07544958,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0511917,,4377.840015,3894.932833,3773.356438,,29.07265838,29.07542895,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.05143,,4377.840015,3898.450388,3773.356438,,29.07265838,29.07540832,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
