pYellow,Cost,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,QALY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,LY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,ICER ($/QALY),Categorical Risk Assessment,NSC,Enhanced Clinical Observation
0.0930696,,4377.840015,3707.093407,3773.356438,,29.07265838,29.0765285,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,53381.63721
0.093858,,4377.840015,3708.999081,3773.356438,,29.07265838,29.07651885,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,51446.37502
0.0946464,,4377.840015,3710.904755,3773.356438,,29.07265838,29.0765092,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,49540.74914
0.0954348,,4377.840015,3712.810428,3773.356438,,29.07265838,29.07649954,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,47664.084
0.0962232,,4377.840015,3714.716102,3773.356438,,29.07265838,29.07648989,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,45815.72436
0.0970116,,4377.840015,3716.621776,3773.356438,,29.07265838,29.07648024,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,43995.03463
0.0978,,4377.840015,3718.52745,3773.356438,,29.07265838,29.07647059,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,42201.39809
0.0985884,,4377.840015,3720.433124,3773.356438,,29.07265838,29.07646093,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,40434.21624
0.0993768,,4377.840015,3722.338797,3773.356438,,29.07265838,29.07645128,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,38692.90807
0.1001652,,4377.840015,3724.244471,3773.356438,,29.07265838,29.07644163,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,36976.90949
0.1009536,,4377.840015,3726.150145,3773.356438,,29.07265838,29.07643198,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,35285.67266
0.101742,,4377.840015,3728.055819,3773.356438,,29.07265838,29.07642232,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,33618.66547
0.1025304,,4377.840015,3729.961492,3773.356438,,29.07265838,29.07641267,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,31975.37092
0.1033188,,4377.840015,3731.867166,3773.356438,,29.07265838,29.07640302,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,30355.28662
0.1041072,,4377.840015,3733.77284,3773.356438,,29.07265838,29.07639337,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,28757.9243
0.1048956,,4377.840015,3735.678514,3773.356438,,29.07265838,29.07638371,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,27182.80926
0.105684,,4377.840015,3737.584188,3773.356438,,29.07265838,29.07637406,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,25629.47993
0.1064724,,4377.840015,3739.489861,3773.356438,,29.07265838,29.07636441,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,24097.48744
0.1072608,,4377.840015,3741.395535,3773.356438,,29.07265838,29.07635476,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,22586.39516
0.1080492,,4377.840015,3743.301209,3773.356438,,29.07265838,29.07634511,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,21095.77828
0.1088376,,4377.840015,3745.206883,3773.356438,,29.07265838,29.07633545,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,19625.22345
0.109626,,4377.840015,3747.112557,3773.356438,,29.07265838,29.0763258,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,18174.32835
0.1104144,,4377.840015,3749.01823,3773.356438,,29.07265838,29.07631615,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,16742.70135
0.1112028,,4377.840015,3750.923904,3773.356438,,29.07265838,29.0763065,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,15329.96117
0.1119912,,4377.840015,3752.829578,3773.356438,,29.07265838,29.07629684,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,13935.7365
0.1127796,,4377.840015,3754.735252,3773.356438,,29.07265838,29.07628719,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,12559.66572
0.113568,,4377.840015,3756.640925,3773.356438,,29.07265838,29.07627754,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,11201.39654
0.1143564,,4377.840015,3758.546599,3773.356438,,29.07265838,29.07626789,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,9860.585762
0.1151448,,4377.840015,3760.452273,3773.356438,,29.07265838,29.07625823,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,8536.898925
0.1159332,,4377.840015,3762.357947,3773.356438,,29.07265838,29.07624858,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,7230.01007
0.1167216,,4377.840015,3764.263621,3773.356438,,29.07265838,29.07623893,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,5939.601455
0.11751,,4377.840015,3766.169294,3773.356438,,29.07265838,29.07622928,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,4665.363302
0.1182984,,4377.840015,3768.074968,3773.356438,,29.07265838,29.07621962,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,3406.993551
0.1190868,,4377.840015,3769.980642,3773.356438,,29.07265838,29.07620997,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,2164.197614
0.1198752,,4377.840015,3771.886316,3773.356438,,29.07265838,29.07620032,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,936.6881549
0.1206636,,4377.840015,3773.791989,3773.356438,,29.07265838,29.07619067,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.121452,,4377.840015,3775.697663,3773.356438,,29.07265838,29.07618101,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.1222404,,4377.840015,3777.603337,3773.356438,,29.07265838,29.07617136,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.1230288,,4377.840015,3779.509011,3773.356438,,29.07265838,29.07616171,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.1238172,,4377.840015,3781.414685,3773.356438,,29.07265838,29.07615206,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.1246056,,4377.840015,3783.320358,3773.356438,,29.07265838,29.0761424,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.125394,,4377.840015,3785.226032,3773.356438,,29.07265838,29.07613275,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.1261824,,4377.840015,3787.131706,3773.356438,,29.07265838,29.0761231,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.1269708,,4377.840015,3789.03738,3773.356438,,29.07265838,29.07611345,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.1277592,,4377.840015,3790.943054,3773.356438,,29.07265838,29.07610379,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.1285476,,4377.840015,3792.848727,3773.356438,,29.07265838,29.07609414,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.129336,,4377.840015,3794.754401,3773.356438,,29.07265838,29.07608449,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
